ident,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,gps_code
00AK,Lowell Field,59.94919968,-151.695999146,NA,US,US-AK,Anchor Point,00AK
00AL,Epps Airpark,34.8647994995117,-86.7703018188477,NA,US,US-AL,Harvest,00AL
00AZ,Cordes Airport,34.3055992126465,-112.165000915527,NA,US,US-AZ,Cordes,00AZ
00CA,Goldstone /Gts/ Airport,35.3504981995,-116.888000488,NA,US,US-CA,Barstow,00CA
00CO,Cass Field,40.622200012207,-104.34400177002,NA,US,US-CO,Briggsdale,00CO
00FA,Grass Patch Airport,28.6455001831055,-82.2190017700195,NA,US,US-FL,Bushnell,00FA
00FL,River Oak Airport,27.230899810791,-80.9692001342773,NA,US,US-FL,Okeechobee,00FL
00GA,Lt World Airport,33.7675018310547,-84.0682983398438,NA,US,US-GA,Lithonia,00GA
00ID,Delta Shores Airport,48.1453018188477,-116.213996887207,NA,US,US-ID,Clark Fork,00ID
00IL,Hammer Airport,41.978401184082,-89.5604019165039,NA,US,US-IL,Polo,00IL
00IS,Hayenga's Cant Find Farms Airport,40.0256004333496,-89.1229019165039,NA,US,US-IL,Kings,00IS
00KS,Hayden Farm Airport,38.7277984619141,-94.9304962158203,NA,US,US-KS,Gardner,00KS
00KY,Robbins Roost Airport,37.4094009399414,-84.6196975708008,NA,US,US-KY,Stanford,00KY
00LS,Lejeune Airport,30.1362991333008,-92.4293975830078,NA,US,US-LA,Esterwood,00LS
00MD,Slater Field,38.7570991516113,-75.7537994384766,NA,US,US-MD,Federalsburg,00MD
00MN,Battle Lake Municipal Airport,46.2999992370605,-95.7003021240234,NA,US,US-MN,Battle Lake,00MN
00MO,Cooper Flying Service Airport,37.2028007507324,-94.4123992919922,NA,US,US-MO,Alba,00MO
00MT,Sands Ranch Airport,48.5374984741211,-109.705001831055,NA,US,US-MT,Havre,00MT
00N,Bucks Airport,39.473201751709,-75.1852035522461,NA,US,US-NJ,Bridgeton,00N
00NC,North Raleigh Airport,36.0852012634277,-78.3713989257813,NA,US,US-NC,Louisburg,00NC
00NY,Weiss Airfield,42.9001007080078,-77.4997024536133,NA,US,US-NY,West Bloomfield,00NY
00OH,Exit 3 Airport,41.5909004211426,-84.1421966552734,NA,US,US-OH,Wauseon,00OH
00PN,Ferrell Field,41.2995,-80.211111,NA,US,US-PA,Mercer,00PN
00PS,Thomas Field,40.377799987793,-77.3653030395508,NA,US,US-PA,Loysville,00PS
00S,Mc Kenzie Bridge State Airport,44.1832008362,-122.088996887,NA,US,US-OR,Mc Kenzie Bridge,00S
00SC,Flying O Airport,34.0093994140625,-80.2671966552734,NA,US,US-SC,Sumter,00SC
00TN,Ragsdale Road Airport,35.5158996582031,-85.9535980224609,NA,US,US-TN,Manchester,00TN
00TS,Alpine Range Airport,32.6076011657715,-97.2419967651367,NA,US,US-TX,Everman,00TS
00VA,Vaughan Airport,36.57600021,-78.9991684,NA,US,US-VA,Alton,00VA
00VI,Groundhog Mountain Airport,36.6632995605469,-80.4994964599609,NA,US,US-VA,Hillsville,00VI
00W,Lower Granite State Airport,46.6735000610352,-117.443000793457,NA,US,US-WA,Colfax,00W
00WA,Howell Airport,47.1783981323242,-122.772003173828,NA,US,US-WA,Longbranch,00WA
00WI,Northern Lite Airport,44.3042984008789,-89.0501022338867,NA,US,US-WI,Waupaca,00WI
00WN,Hawks Run Airport,46.25,-117.249000549316,NA,US,US-WA,Asotin,00WN
00WV,Lazy J. Aerodrome,38.8288993835449,-79.866096496582,NA,US,US-WV,Beverly,00WV
00XS,L P Askew Farms Airport,33.0334014892578,-101.93399810791,NA,US,US-TX,O'Donnell,00XS
01A,Purkeypile Airport,62.9435997009277,-152.270004272461,NA,US,US-AK,Purkeypile,01A
01AL,Ware Island Airport,32.9459991455078,-86.5139007568359,NA,US,US-AL,Clanton,01AL
01C,Grant Airport,43.3417015075684,-85.7750015258789,NA,US,US-MI,Grant,01C
01CL,Swansboro Country Airport,38.7999000549316,-120.734001159668,NA,US,US-CA,Placerville,01CL
01FA,Rybolt Ranch Airport,28.5893993377686,-81.1442031860352,NA,US,US-FL,Orlando,01FA
01FL,Cedar Knoll Flying Ranch Airport,28.7819004058838,-81.1592025756836,NA,US,US-FL,Geneva,01FL
01GE,The Farm Airport,32.6744003295898,-82.7711029052734,NA,US,US-GA,Wrightsville,01GE
01IA,Stender Airport,41.6610984802246,-90.7413024902344,NA,US,US-IA,Maysville,01IA
